,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
1115,Fluchtunfälle,Verletzte und Getötete,2005,01,24.0
1413,Verkehrsunfälle,insgesamt,2005,01,2788.0
1117,Fluchtunfälle,Verletzte und Getötete,2005,03,33.0
527,Alkoholunfälle,Verletzte und Getötete,2005,09,50.0
529,Alkoholunfälle,Verletzte und Getötete,2005,11,14.0
1713,Verkehrsunfälle,mit Personenschäden,2005,03,299.0
232,Alkoholunfälle,insgesamt,2005,12,41.0
231,Alkoholunfälle,insgesamt,2005,11,42.0
230,Alkoholunfälle,insgesamt,2005,10,57.0
229,Alkoholunfälle,insgesamt,2005,09,76.0
228,Alkoholunfälle,insgesamt,2005,08,48.0
227,Alkoholunfälle,insgesamt,2005,07,63.0
226,Alkoholunfälle,insgesamt,2005,06,57.0
224,Alkoholunfälle,insgesamt,2005,04,40.0
223,Alkoholunfälle,insgesamt,2005,03,40.0
222,Alkoholunfälle,insgesamt,2005,02,40.0
221,Alkoholunfälle,insgesamt,2005,01,48.0
1712,Verkehrsunfälle,mit Personenschäden,2005,02,229.0
1711,Verkehrsunfälle,mit Personenschäden,2005,01,244.0
225,Alkoholunfälle,insgesamt,2005,05,48.0
2009,Verkehrsunfälle,Verletzte und Getötete,2005,01,306.0
2011,Verkehrsunfälle,Verletzte und Getötete,2005,03,385.0
1716,Verkehrsunfälle,mit Personenschäden,2005,06,627.0
1717,Verkehrsunfälle,mit Personenschäden,2005,07,558.0
1718,Verkehrsunfälle,mit Personenschäden,2005,08,462.0
1719,Verkehrsunfälle,mit Personenschäden,2005,09,678.0
1720,Verkehrsunfälle,mit Personenschäden,2005,10,451.0
1721,Verkehrsunfälle,mit Personenschäden,2005,11,496.0
1722,Verkehrsunfälle,mit Personenschäden,2005,12,487.0
2010,Verkehrsunfälle,Verletzte und Getötete,2005,02,282.0
2020,Verkehrsunfälle,Verletzte und Getötete,2005,12,460.0
2018,Verkehrsunfälle,Verletzte und Getötete,2005,10,568.0
2017,Verkehrsunfälle,Verletzte und Getötete,2005,09,825.0
2016,Verkehrsunfälle,Verletzte und Getötete,2005,08,582.0
2015,Verkehrsunfälle,Verletzte und Getötete,2005,07,675.0
2014,Verkehrsunfälle,Verletzte und Getötete,2005,06,729.0
2013,Verkehrsunfälle,Verletzte und Getötete,2005,05,618.0
2012,Verkehrsunfälle,Verletzte und Getötete,2005,04,514.0
2019,Verkehrsunfälle,Verletzte und Getötete,2005,11,458.0
1715,Verkehrsunfälle,mit Personenschäden,2005,05,521.0
1714,Verkehrsunfälle,mit Personenschäden,2005,04,422.0
519,Alkoholunfälle,Verletzte und Getötete,2005,01,13.0
528,Alkoholunfälle,Verletzte und Getötete,2005,10,35.0
526,Alkoholunfälle,Verletzte und Getötete,2005,08,33.0
525,Alkoholunfälle,Verletzte und Getötete,2005,07,26.0
524,Alkoholunfälle,Verletzte und Getötete,2005,06,31.0
523,Alkoholunfälle,Verletzte und Getötete,2005,05,21.0
522,Alkoholunfälle,Verletzte und Getötete,2005,04,19.0
521,Alkoholunfälle,Verletzte und Getötete,2005,03,13.0
520,Alkoholunfälle,Verletzte und Getötete,2005,02,14.0
530,Alkoholunfälle,Verletzte und Getötete,2005,12,12.0
1409,Verkehrsunfälle,insgesamt,2006,10,3286.0
1410,Verkehrsunfälle,insgesamt,2006,11,3073.0
1411,Verkehrsunfälle,insgesamt,2006,12,3419.0
1707,Verkehrsunfälle,mit Personenschäden,2006,10,500.0
813,Fluchtunfälle,insgesamt,2006,10,599.0
1705,Verkehrsunfälle,mit Personenschäden,2006,08,422.0
1408,Verkehrsunfälle,insgesamt,2006,09,3233.0
1704,Verkehrsunfälle,mit Personenschäden,2006,07,671.0
1706,Verkehrsunfälle,mit Personenschäden,2006,09,407.0
1407,Verkehrsunfälle,insgesamt,2006,08,2993.0
1406,Verkehrsunfälle,insgesamt,2006,07,3611.0
1405,Verkehrsunfälle,insgesamt,2006,06,2853.0
811,Fluchtunfälle,insgesamt,2006,08,774.0
815,Fluchtunfälle,insgesamt,2006,12,864.0
1709,Verkehrsunfälle,mit Personenschäden,2006,12,386.0
810,Fluchtunfälle,insgesamt,2006,07,845.0
809,Fluchtunfälle,insgesamt,2006,06,565.0
808,Fluchtunfälle,insgesamt,2006,05,476.0
807,Fluchtunfälle,insgesamt,2006,04,750.0
806,Fluchtunfälle,insgesamt,2006,03,1138.0
812,Fluchtunfälle,insgesamt,2006,09,718.0
805,Fluchtunfälle,insgesamt,2006,02,698.0
1708,Verkehrsunfälle,mit Personenschäden,2006,11,384.0
1400,Verkehrsunfälle,insgesamt,2006,01,2893.0
1401,Verkehrsunfälle,insgesamt,2006,02,2901.0
1402,Verkehrsunfälle,insgesamt,2006,03,4165.0
1403,Verkehrsunfälle,insgesamt,2006,04,2874.0
1404,Verkehrsunfälle,insgesamt,2006,05,3032.0
804,Fluchtunfälle,insgesamt,2006,01,708.0
814,Fluchtunfälle,insgesamt,2006,11,494.0
2007,Verkehrsunfälle,Verletzte und Getötete,2006,12,466.0
219,Alkoholunfälle,insgesamt,2006,12,52.0
2002,Verkehrsunfälle,Verletzte und Getötete,2006,07,787.0
2003,Verkehrsunfälle,Verletzte und Getötete,2006,08,513.0
1113,Fluchtunfälle,Verletzte und Getötete,2006,12,44.0
1112,Fluchtunfälle,Verletzte und Getötete,2006,11,38.0
1111,Fluchtunfälle,Verletzte und Getötete,2006,10,43.0
1110,Fluchtunfälle,Verletzte und Getötete,2006,09,66.0
1109,Fluchtunfälle,Verletzte und Getötete,2006,08,40.0
1108,Fluchtunfälle,Verletzte und Getötete,2006,07,78.0
1107,Fluchtunfälle,Verletzte und Getötete,2006,06,40.0
1106,Fluchtunfälle,Verletzte und Getötete,2006,05,33.0
1105,Fluchtunfälle,Verletzte und Getötete,2006,04,25.0
1104,Fluchtunfälle,Verletzte und Getötete,2006,03,34.0
1103,Fluchtunfälle,Verletzte und Getötete,2006,02,33.0
1102,Fluchtunfälle,Verletzte und Getötete,2006,01,31.0
2001,Verkehrsunfälle,Verletzte und Getötete,2006,06,479.0
2000,Verkehrsunfälle,Verletzte und Getötete,2006,05,564.0
1999,Verkehrsunfälle,Verletzte und Getötete,2006,04,387.0
1998,Verkehrsunfälle,Verletzte und Getötete,2006,03,375.0
218,Alkoholunfälle,insgesamt,2006,11,48.0
217,Alkoholunfälle,insgesamt,2006,10,45.0
216,Alkoholunfälle,insgesamt,2006,09,64.0
215,Alkoholunfälle,insgesamt,2006,08,48.0
214,Alkoholunfälle,insgesamt,2006,07,64.0
213,Alkoholunfälle,insgesamt,2006,06,51.0
212,Alkoholunfälle,insgesamt,2006,05,53.0
1703,Verkehrsunfälle,mit Personenschäden,2006,06,406.0
211,Alkoholunfälle,insgesamt,2006,04,40.0
209,Alkoholunfälle,insgesamt,2006,02,50.0
208,Alkoholunfälle,insgesamt,2006,01,44.0
2006,Verkehrsunfälle,Verletzte und Getötete,2006,11,468.0
1996,Verkehrsunfälle,Verletzte und Getötete,2006,01,364.0
1997,Verkehrsunfälle,Verletzte und Getötete,2006,02,279.0
210,Alkoholunfälle,insgesamt,2006,03,40.0
1702,Verkehrsunfälle,mit Personenschäden,2006,05,471.0
2004,Verkehrsunfälle,Verletzte und Getötete,2006,09,490.0
1700,Verkehrsunfälle,mit Personenschäden,2006,03,275.0
506,Alkoholunfälle,Verletzte und Getötete,2006,01,21.0
507,Alkoholunfälle,Verletzte und Getötete,2006,02,21.0
2005,Verkehrsunfälle,Verletzte und Getötete,2006,10,632.0
508,Alkoholunfälle,Verletzte und Getötete,2006,03,14.0
509,Alkoholunfälle,Verletzte und Getötete,2006,04,16.0
511,Alkoholunfälle,Verletzte und Getötete,2006,06,22.0
512,Alkoholunfälle,Verletzte und Getötete,2006,07,37.0
513,Alkoholunfälle,Verletzte und Getötete,2006,08,25.0
514,Alkoholunfälle,Verletzte und Getötete,2006,09,35.0
515,Alkoholunfälle,Verletzte und Getötete,2006,10,24.0
516,Alkoholunfälle,Verletzte und Getötete,2006,11,22.0
517,Alkoholunfälle,Verletzte und Getötete,2006,12,21.0
510,Alkoholunfälle,Verletzte und Getötete,2006,05,28.0
1699,Verkehrsunfälle,mit Personenschäden,2006,02,237.0
1698,Verkehrsunfälle,mit Personenschäden,2006,01,291.0
1701,Verkehrsunfälle,mit Personenschäden,2006,04,301.0
205,Alkoholunfälle,insgesamt,2007,11,36.0
204,Alkoholunfälle,insgesamt,2007,10,55.0
203,Alkoholunfälle,insgesamt,2007,09,54.0
202,Alkoholunfälle,insgesamt,2007,08,44.0
201,Alkoholunfälle,insgesamt,2007,07,65.0
199,Alkoholunfälle,insgesamt,2007,05,63.0
198,Alkoholunfälle,insgesamt,2007,04,49.0
197,Alkoholunfälle,insgesamt,2007,03,38.0
196,Alkoholunfälle,insgesamt,2007,02,32.0
195,Alkoholunfälle,insgesamt,2007,01,36.0
200,Alkoholunfälle,insgesamt,2007,06,51.0
206,Alkoholunfälle,insgesamt,2007,12,37.0
494,Alkoholunfälle,Verletzte und Getötete,2007,02,15.0
495,Alkoholunfälle,Verletzte und Getötete,2007,03,14.0
792,Fluchtunfälle,insgesamt,2007,02,612.0
793,Fluchtunfälle,insgesamt,2007,03,411.0
794,Fluchtunfälle,insgesamt,2007,04,821.0
497,Alkoholunfälle,Verletzte und Getötete,2007,05,39.0
795,Fluchtunfälle,insgesamt,2007,05,858.0
796,Fluchtunfälle,insgesamt,2007,06,804.0
797,Fluchtunfälle,insgesamt,2007,07,935.0
798,Fluchtunfälle,insgesamt,2007,08,759.0
800,Fluchtunfälle,insgesamt,2007,10,873.0
801,Fluchtunfälle,insgesamt,2007,11,868.0
802,Fluchtunfälle,insgesamt,2007,12,690.0
493,Alkoholunfälle,Verletzte und Getötete,2007,01,13.0
496,Alkoholunfälle,Verletzte und Getötete,2007,04,27.0
1991,Verkehrsunfälle,Verletzte und Getötete,2007,09,462.0
1984,Verkehrsunfälle,Verletzte und Getötete,2007,02,277.0
1089,Fluchtunfälle,Verletzte und Getötete,2007,01,19.0
1090,Fluchtunfälle,Verletzte und Getötete,2007,02,33.0
1091,Fluchtunfälle,Verletzte und Getötete,2007,03,20.0
1092,Fluchtunfälle,Verletzte und Getötete,2007,04,43.0
1093,Fluchtunfälle,Verletzte und Getötete,2007,05,48.0
1094,Fluchtunfälle,Verletzte und Getötete,2007,06,50.0
1095,Fluchtunfälle,Verletzte und Getötete,2007,07,59.0
1096,Fluchtunfälle,Verletzte und Getötete,2007,08,39.0
1097,Fluchtunfälle,Verletzte und Getötete,2007,09,41.0
1098,Fluchtunfälle,Verletzte und Getötete,2007,10,49.0
1099,Fluchtunfälle,Verletzte und Getötete,2007,11,46.0
1100,Fluchtunfälle,Verletzte und Getötete,2007,12,29.0
504,Alkoholunfälle,Verletzte und Getötete,2007,12,20.0
1983,Verkehrsunfälle,Verletzte und Getötete,2007,01,268.0
503,Alkoholunfälle,Verletzte und Getötete,2007,11,26.0
501,Alkoholunfälle,Verletzte und Getötete,2007,09,24.0
500,Alkoholunfälle,Verletzte und Getötete,2007,08,20.0
499,Alkoholunfälle,Verletzte und Getötete,2007,07,38.0
498,Alkoholunfälle,Verletzte und Getötete,2007,06,27.0
1994,Verkehrsunfälle,Verletzte und Getötete,2007,12,414.0
1993,Verkehrsunfälle,Verletzte und Getötete,2007,11,405.0
1992,Verkehrsunfälle,Verletzte und Getötete,2007,10,491.0
791,Fluchtunfälle,insgesamt,2007,01,699.0
1990,Verkehrsunfälle,Verletzte und Getötete,2007,08,422.0
1989,Verkehrsunfälle,Verletzte und Getötete,2007,07,511.0
1988,Verkehrsunfälle,Verletzte und Getötete,2007,06,535.0
1987,Verkehrsunfälle,Verletzte und Getötete,2007,05,591.0
1986,Verkehrsunfälle,Verletzte und Getötete,2007,04,500.0
1985,Verkehrsunfälle,Verletzte und Getötete,2007,03,347.0
502,Alkoholunfälle,Verletzte und Getötete,2007,10,18.0
799,Fluchtunfälle,insgesamt,2007,09,797.0
1690,Verkehrsunfälle,mit Personenschäden,2007,06,444.0
1689,Verkehrsunfälle,mit Personenschäden,2007,05,482.0
1688,Verkehrsunfälle,mit Personenschäden,2007,04,396.0
1687,Verkehrsunfälle,mit Personenschäden,2007,03,293.0
1686,Verkehrsunfälle,mit Personenschäden,2007,02,217.0
1685,Verkehrsunfälle,mit Personenschäden,2007,01,218.0
1388,Verkehrsunfälle,insgesamt,2007,02,2643.0
1389,Verkehrsunfälle,insgesamt,2007,03,2836.0
1398,Verkehrsunfälle,insgesamt,2007,12,3184.0
1397,Verkehrsunfälle,insgesamt,2007,11,3444.0
1396,Verkehrsunfälle,insgesamt,2007,10,3695.0
1395,Verkehrsunfälle,insgesamt,2007,09,3414.0
1394,Verkehrsunfälle,insgesamt,2007,08,2943.0
1393,Verkehrsunfälle,insgesamt,2007,07,3622.0
1392,Verkehrsunfälle,insgesamt,2007,06,3225.0
1691,Verkehrsunfälle,mit Personenschäden,2007,07,435.0
1391,Verkehrsunfälle,insgesamt,2007,05,3529.0
1692,Verkehrsunfälle,mit Personenschäden,2007,08,344.0
1694,Verkehrsunfälle,mit Personenschäden,2007,10,405.0
1693,Verkehrsunfälle,mit Personenschäden,2007,09,385.0
1390,Verkehrsunfälle,insgesamt,2007,04,3292.0
1696,Verkehrsunfälle,mit Personenschäden,2007,12,333.0
1695,Verkehrsunfälle,mit Personenschäden,2007,11,324.0
1387,Verkehrsunfälle,insgesamt,2007,01,2735.0
1970,Verkehrsunfälle,Verletzte und Getötete,2008,01,307.0
1972,Verkehrsunfälle,Verletzte und Getötete,2008,03,254.0
1973,Verkehrsunfälle,Verletzte und Getötete,2008,04,355.0
1974,Verkehrsunfälle,Verletzte und Getötete,2008,05,534.0
1975,Verkehrsunfälle,Verletzte und Getötete,2008,06,473.0
1976,Verkehrsunfälle,Verletzte und Getötete,2008,07,538.0
1977,Verkehrsunfälle,Verletzte und Getötete,2008,08,480.0
1978,Verkehrsunfälle,Verletzte und Getötete,2008,09,422.0
1971,Verkehrsunfälle,Verletzte und Getötete,2008,02,340.0
1979,Verkehrsunfälle,Verletzte und Getötete,2008,10,455.0
183,Alkoholunfälle,insgesamt,2008,02,30.0
184,Alkoholunfälle,insgesamt,2008,03,30.0
185,Alkoholunfälle,insgesamt,2008,04,25.0
186,Alkoholunfälle,insgesamt,2008,05,57.0
187,Alkoholunfälle,insgesamt,2008,06,56.0
188,Alkoholunfälle,insgesamt,2008,07,52.0
189,Alkoholunfälle,insgesamt,2008,08,44.0
190,Alkoholunfälle,insgesamt,2008,09,49.0
191,Alkoholunfälle,insgesamt,2008,10,45.0
192,Alkoholunfälle,insgesamt,2008,11,27.0
193,Alkoholunfälle,insgesamt,2008,12,35.0
491,Alkoholunfälle,Verletzte und Getötete,2008,12,20.0
490,Alkoholunfälle,Verletzte und Getötete,2008,11,14.0
182,Alkoholunfälle,insgesamt,2008,01,32.0
1980,Verkehrsunfälle,Verletzte und Getötete,2008,11,321.0
1385,Verkehrsunfälle,insgesamt,2008,12,2888.0
1076,Fluchtunfälle,Verletzte und Getötete,2008,01,27.0
1077,Fluchtunfälle,Verletzte und Getötete,2008,02,29.0
1078,Fluchtunfälle,Verletzte und Getötete,2008,03,25.0
1079,Fluchtunfälle,Verletzte und Getötete,2008,04,41.0
1080,Fluchtunfälle,Verletzte und Getötete,2008,05,57.0
1081,Fluchtunfälle,Verletzte und Getötete,2008,06,59.0
1082,Fluchtunfälle,Verletzte und Getötete,2008,07,48.0
1083,Fluchtunfälle,Verletzte und Getötete,2008,08,55.0
1084,Fluchtunfälle,Verletzte und Getötete,2008,09,48.0
1085,Fluchtunfälle,Verletzte und Getötete,2008,10,46.0
1086,Fluchtunfälle,Verletzte und Getötete,2008,11,27.0
1981,Verkehrsunfälle,Verletzte und Getötete,2008,12,272.0
1087,Fluchtunfälle,Verletzte und Getötete,2008,12,27.0
489,Alkoholunfälle,Verletzte und Getötete,2008,10,19.0
1384,Verkehrsunfälle,insgesamt,2008,11,2983.0
1383,Verkehrsunfälle,insgesamt,2008,10,3683.0
1382,Verkehrsunfälle,insgesamt,2008,09,3271.0
1381,Verkehrsunfälle,insgesamt,2008,08,2870.0
1380,Verkehrsunfälle,insgesamt,2008,07,3500.0
1379,Verkehrsunfälle,insgesamt,2008,06,3374.0
1378,Verkehrsunfälle,insgesamt,2008,05,3428.0
1377,Verkehrsunfälle,insgesamt,2008,04,3339.0
1376,Verkehrsunfälle,insgesamt,2008,03,2910.0
1375,Verkehrsunfälle,insgesamt,2008,02,3171.0
1374,Verkehrsunfälle,insgesamt,2008,01,2945.0
1683,Verkehrsunfälle,mit Personenschäden,2008,12,230.0
1682,Verkehrsunfälle,mit Personenschäden,2008,11,281.0
488,Alkoholunfälle,Verletzte und Getötete,2008,09,28.0
486,Alkoholunfälle,Verletzte und Getötete,2008,07,24.0
480,Alkoholunfälle,Verletzte und Getötete,2008,01,8.0
1676,Verkehrsunfälle,mit Personenschäden,2008,05,445.0
783,Fluchtunfälle,insgesamt,2008,06,859.0
784,Fluchtunfälle,insgesamt,2008,07,832.0
785,Fluchtunfälle,insgesamt,2008,08,760.0
786,Fluchtunfälle,insgesamt,2008,09,747.0
787,Fluchtunfälle,insgesamt,2008,10,874.0
788,Fluchtunfälle,insgesamt,2008,11,625.0
789,Fluchtunfälle,insgesamt,2008,12,657.0
487,Alkoholunfälle,Verletzte und Getötete,2008,08,23.0
1681,Verkehrsunfälle,mit Personenschäden,2008,10,373.0
1672,Verkehrsunfälle,mit Personenschäden,2008,01,260.0
1673,Verkehrsunfälle,mit Personenschäden,2008,02,279.0
1674,Verkehrsunfälle,mit Personenschäden,2008,03,210.0
1680,Verkehrsunfälle,mit Personenschäden,2008,09,360.0
1679,Verkehrsunfälle,mit Personenschäden,2008,08,402.0
1678,Verkehrsunfälle,mit Personenschäden,2008,07,459.0
1677,Verkehrsunfälle,mit Personenschäden,2008,06,424.0
481,Alkoholunfälle,Verletzte und Getötete,2008,02,16.0
482,Alkoholunfälle,Verletzte und Getötete,2008,03,9.0
782,Fluchtunfälle,insgesamt,2008,05,871.0
485,Alkoholunfälle,Verletzte und Getötete,2008,06,32.0
484,Alkoholunfälle,Verletzte und Getötete,2008,05,37.0
483,Alkoholunfälle,Verletzte und Getötete,2008,04,10.0
1675,Verkehrsunfälle,mit Personenschäden,2008,04,315.0
781,Fluchtunfälle,insgesamt,2008,04,837.0
780,Fluchtunfälle,insgesamt,2008,03,763.0
779,Fluchtunfälle,insgesamt,2008,02,793.0
778,Fluchtunfälle,insgesamt,2008,01,727.0
1663,Verkehrsunfälle,mit Personenschäden,2009,05,454.0
1366,Verkehrsunfälle,insgesamt,2009,06,2876.0
1367,Verkehrsunfälle,insgesamt,2009,07,3622.0
1368,Verkehrsunfälle,insgesamt,2009,08,2749.0
1369,Verkehrsunfälle,insgesamt,2009,09,3252.0
1370,Verkehrsunfälle,insgesamt,2009,10,3567.0
1371,Verkehrsunfälle,insgesamt,2009,11,3294.0
1372,Verkehrsunfälle,insgesamt,2009,12,3202.0
1669,Verkehrsunfälle,mit Personenschäden,2009,11,312.0
1667,Verkehrsunfälle,mit Personenschäden,2009,09,388.0
1666,Verkehrsunfälle,mit Personenschäden,2009,08,376.0
1665,Verkehrsunfälle,mit Personenschäden,2009,07,476.0
1664,Verkehrsunfälle,mit Personenschäden,2009,06,371.0
1659,Verkehrsunfälle,mit Personenschäden,2009,01,184.0
1660,Verkehrsunfälle,mit Personenschäden,2009,02,273.0
1661,Verkehrsunfälle,mit Personenschäden,2009,03,202.0
1662,Verkehrsunfälle,mit Personenschäden,2009,04,357.0
1670,Verkehrsunfälle,mit Personenschäden,2009,12,312.0
1668,Verkehrsunfälle,mit Personenschäden,2009,10,360.0
770,Fluchtunfälle,insgesamt,2009,06,678.0
765,Fluchtunfälle,insgesamt,2009,01,512.0
1063,Fluchtunfälle,Verletzte und Getötete,2009,01,22.0
1064,Fluchtunfälle,Verletzte und Getötete,2009,02,35.0
1065,Fluchtunfälle,Verletzte und Getötete,2009,03,20.0
1066,Fluchtunfälle,Verletzte und Getötete,2009,04,43.0
1067,Fluchtunfälle,Verletzte und Getötete,2009,05,49.0
1068,Fluchtunfälle,Verletzte und Getötete,2009,06,34.0
1069,Fluchtunfälle,Verletzte und Getötete,2009,07,61.0
1070,Fluchtunfälle,Verletzte und Getötete,2009,08,40.0
1071,Fluchtunfälle,Verletzte und Getötete,2009,09,37.0
1072,Fluchtunfälle,Verletzte und Getötete,2009,10,47.0
1074,Fluchtunfälle,Verletzte und Getötete,2009,12,37.0
775,Fluchtunfälle,insgesamt,2009,11,835.0
774,Fluchtunfälle,insgesamt,2009,10,953.0
773,Fluchtunfälle,insgesamt,2009,09,846.0
772,Fluchtunfälle,insgesamt,2009,08,752.0
771,Fluchtunfälle,insgesamt,2009,07,991.0
769,Fluchtunfälle,insgesamt,2009,05,768.0
768,Fluchtunfälle,insgesamt,2009,04,776.0
767,Fluchtunfälle,insgesamt,2009,03,607.0
766,Fluchtunfälle,insgesamt,2009,02,802.0
1073,Fluchtunfälle,Verletzte und Getötete,2009,11,34.0
173,Alkoholunfälle,insgesamt,2009,05,57.0
169,Alkoholunfälle,insgesamt,2009,01,23.0
1361,Verkehrsunfälle,insgesamt,2009,01,2482.0
1362,Verkehrsunfälle,insgesamt,2009,02,3480.0
1363,Verkehrsunfälle,insgesamt,2009,03,2744.0
1364,Verkehrsunfälle,insgesamt,2009,04,2953.0
478,Alkoholunfälle,Verletzte und Getötete,2009,12,14.0
1365,Verkehrsunfälle,insgesamt,2009,05,3240.0
477,Alkoholunfälle,Verletzte und Getötete,2009,11,5.0
467,Alkoholunfälle,Verletzte und Getötete,2009,01,7.0
170,Alkoholunfälle,insgesamt,2009,02,32.0
171,Alkoholunfälle,insgesamt,2009,03,14.0
172,Alkoholunfälle,insgesamt,2009,04,45.0
174,Alkoholunfälle,insgesamt,2009,06,31.0
175,Alkoholunfälle,insgesamt,2009,07,44.0
176,Alkoholunfälle,insgesamt,2009,08,35.0
177,Alkoholunfälle,insgesamt,2009,09,49.0
178,Alkoholunfälle,insgesamt,2009,10,35.0
179,Alkoholunfälle,insgesamt,2009,11,31.0
180,Alkoholunfälle,insgesamt,2009,12,34.0
471,Alkoholunfälle,Verletzte und Getötete,2009,05,34.0
472,Alkoholunfälle,Verletzte und Getötete,2009,06,19.0
473,Alkoholunfälle,Verletzte und Getötete,2009,07,27.0
474,Alkoholunfälle,Verletzte und Getötete,2009,08,26.0
776,Fluchtunfälle,insgesamt,2009,12,747.0
475,Alkoholunfälle,Verletzte und Getötete,2009,09,18.0
476,Alkoholunfälle,Verletzte und Getötete,2009,10,15.0
1962,Verkehrsunfälle,Verletzte und Getötete,2009,06,443.0
1966,Verkehrsunfälle,Verletzte und Getötete,2009,10,432.0
1965,Verkehrsunfälle,Verletzte und Getötete,2009,09,452.0
1964,Verkehrsunfälle,Verletzte und Getötete,2009,08,466.0
470,Alkoholunfälle,Verletzte und Getötete,2009,04,31.0
469,Alkoholunfälle,Verletzte und Getötete,2009,03,5.0
1963,Verkehrsunfälle,Verletzte und Getötete,2009,07,556.0
1967,Verkehrsunfälle,Verletzte und Getötete,2009,11,366.0
1961,Verkehrsunfälle,Verletzte und Getötete,2009,05,535.0
1968,Verkehrsunfälle,Verletzte und Getötete,2009,12,391.0
1959,Verkehrsunfälle,Verletzte und Getötete,2009,03,245.0
1958,Verkehrsunfälle,Verletzte und Getötete,2009,02,340.0
468,Alkoholunfälle,Verletzte und Getötete,2009,02,12.0
1957,Verkehrsunfälle,Verletzte und Getötete,2009,01,223.0
1960,Verkehrsunfälle,Verletzte und Getötete,2009,04,416.0
1061,Fluchtunfälle,Verletzte und Getötete,2010,12,23.0
1060,Fluchtunfälle,Verletzte und Getötete,2010,11,33.0
1059,Fluchtunfälle,Verletzte und Getötete,2010,10,49.0
1058,Fluchtunfälle,Verletzte und Getötete,2010,09,42.0
1057,Fluchtunfälle,Verletzte und Getötete,2010,08,48.0
1353,Verkehrsunfälle,insgesamt,2010,06,3193.0
1349,Verkehrsunfälle,insgesamt,2010,02,2539.0
1350,Verkehrsunfälle,insgesamt,2010,03,3309.0
1351,Verkehrsunfälle,insgesamt,2010,04,3202.0
1352,Verkehrsunfälle,insgesamt,2010,05,2974.0
1359,Verkehrsunfälle,insgesamt,2010,12,3413.0
1358,Verkehrsunfälle,insgesamt,2010,11,3329.0
1357,Verkehrsunfälle,insgesamt,2010,10,3500.0
1356,Verkehrsunfälle,insgesamt,2010,09,3524.0
1354,Verkehrsunfälle,insgesamt,2010,07,3712.0
1348,Verkehrsunfälle,insgesamt,2010,01,2346.0
1355,Verkehrsunfälle,insgesamt,2010,08,2843.0
1646,Verkehrsunfälle,mit Personenschäden,2010,01,147.0
1647,Verkehrsunfälle,mit Personenschäden,2010,02,200.0
1648,Verkehrsunfälle,mit Personenschäden,2010,03,291.0
1650,Verkehrsunfälle,mit Personenschäden,2010,05,320.0
1651,Verkehrsunfälle,mit Personenschäden,2010,06,440.0
1652,Verkehrsunfälle,mit Personenschäden,2010,07,619.0
1653,Verkehrsunfälle,mit Personenschäden,2010,08,416.0
1654,Verkehrsunfälle,mit Personenschäden,2010,09,456.0
1655,Verkehrsunfälle,mit Personenschäden,2010,10,432.0
1656,Verkehrsunfälle,mit Personenschäden,2010,11,319.0
1657,Verkehrsunfälle,mit Personenschäden,2010,12,223.0
1955,Verkehrsunfälle,Verletzte und Getötete,2010,12,277.0
1954,Verkehrsunfälle,Verletzte und Getötete,2010,11,383.0
1953,Verkehrsunfälle,Verletzte und Getötete,2010,10,524.0
1952,Verkehrsunfälle,Verletzte und Getötete,2010,09,534.0
1951,Verkehrsunfälle,Verletzte und Getötete,2010,08,481.0
1950,Verkehrsunfälle,Verletzte und Getötete,2010,07,721.0
1949,Verkehrsunfälle,Verletzte und Getötete,2010,06,517.0
1948,Verkehrsunfälle,Verletzte und Getötete,2010,05,389.0
1947,Verkehrsunfälle,Verletzte und Getötete,2010,04,216.0
1946,Verkehrsunfälle,Verletzte und Getötete,2010,03,341.0
1945,Verkehrsunfälle,Verletzte und Getötete,2010,02,247.0
1944,Verkehrsunfälle,Verletzte und Getötete,2010,01,192.0
1056,Fluchtunfälle,Verletzte und Getötete,2010,07,65.0
1649,Verkehrsunfälle,mit Personenschäden,2010,04,377.0
1055,Fluchtunfälle,Verletzte und Getötete,2010,06,57.0
1053,Fluchtunfälle,Verletzte und Getötete,2010,04,41.0
159,Alkoholunfälle,insgesamt,2010,04,33.0
158,Alkoholunfälle,insgesamt,2010,03,31.0
157,Alkoholunfälle,insgesamt,2010,02,23.0
156,Alkoholunfälle,insgesamt,2010,01,19.0
454,Alkoholunfälle,Verletzte und Getötete,2010,01,7.0
160,Alkoholunfälle,insgesamt,2010,05,34.0
455,Alkoholunfälle,Verletzte und Getötete,2010,02,10.0
457,Alkoholunfälle,Verletzte und Getötete,2010,04,25.0
458,Alkoholunfälle,Verletzte und Getötete,2010,05,15.0
459,Alkoholunfälle,Verletzte und Getötete,2010,06,20.0
460,Alkoholunfälle,Verletzte und Getötete,2010,07,29.0
461,Alkoholunfälle,Verletzte und Getötete,2010,08,25.0
462,Alkoholunfälle,Verletzte und Getötete,2010,09,26.0
463,Alkoholunfälle,Verletzte und Getötete,2010,10,13.0
456,Alkoholunfälle,Verletzte und Getötete,2010,03,12.0
464,Alkoholunfälle,Verletzte und Getötete,2010,11,7.0
161,Alkoholunfälle,insgesamt,2010,06,39.0
163,Alkoholunfälle,insgesamt,2010,08,40.0
762,Fluchtunfälle,insgesamt,2010,11,827.0
761,Fluchtunfälle,insgesamt,2010,10,910.0
760,Fluchtunfälle,insgesamt,2010,09,955.0
